1,1,H,1.0078,100
2,2,H,2.0141,0.015
1,12,C,12,100
2,13,C,13.0034,1.082
1,14,N,14.0031,100
2,15,N,15.0001,0.368
1,16,O,15.9949,100
2,17,O,16.9991,0.037
3,18,O,17.9991,0.204
1,19,F,18.9984,100
1,31,P,30.9738,100
1,32,S,31.9721,100
2,33,S,32.9715,0.789
3,34,S,33.9679,4.442
4,36,S,35.9671,0.014
